Country,Year,Population
Australia,2010,1347588182
Japan,2021,605432710
UK,2009,829906013
Germany,2016,794913539
Brazil,2008,1136290082
UK,2014,1348581198
India,1992,984632846
France,2018,1105471097
China,2016,634189845
Canada,2016,232893297
UK,2023,172901495
France,1991,394464178
Brazil,2024,790113285
France,1991,1337045687
India,1995,869324453
Canada,2017,854655990
China,2001,1284904872
Australia,1991,246443801
Germany,1996,1390515731
China,2010,620491319
Brazil,2012,420395919
Canada,2000,264231439
Canada,2004,344033425
Japan,2006,135473034
France,2024,976362238
Canada,1999,316900319
USA,2007,176628163
Canada,2011,701226856
Brazil,2013,551596567
China,2011,515227782
Australia,2004,110731423
India,2012,95388853
Canada,2022,810543917
Canada,2017,1278990254
Japan,2006,45923889
Japan,2009,1145121420
USA,1999,168007684
UK,2023,559943278
Brazil,2017,1206297139
USA,2011,1149897962
USA,2012,1459636808
Japan,2016,1045189214
Germany,2015,19264409
Germany,2017,1282525211
Canada,2011,1301425930
Brazil,2019,384493873
France,2014,83927718
India,2019,200118917
Australia,2016,772678855
USA,2003,1312419381
China,1994,394285460
Canada,2007,441734270
UK,2023,506648250
France,2008,1081327176
France,1993,1006085739
Brazil,1997,1479225121
Canada,2005,478589268
Japan,1997,521447553
Germany,2000,767275535
Australia,2014,162348653
Germany,2015,1233597840
India,1994,1286828418
India,2017,957785490
India,1998,435386498
Germany,2011,752182196
UK,1999,71922329
China,1991,872185075
China,2021,1373113614
Canada,2014,532453822
UK,2013,162394352
Germany,2015,357484209
UK,2003,1146795712
France,2022,201117202
Germany,2007,160654744
India,1991,690073767
Japan,2002,1008610824
Canada,2004,1095469417
Germany,1998,1140613294
Japan,2007,216633735
Germany,2008,363148570
Canada,1993,483399945
Germany,2004,341825709
Germany,1991,271853488
USA,2014,75073210
China,2005,1417481496
Japan,2006,713271890
Brazil,2023,294378795
Brazil,2013,1035022908
Germany,2013,1314145068
India,1991,1083921809
China,1995,706635763
Germany,2007,1451804134
Brazil,2013,774208256
Canada,1994,876945303
China,2004,703540987
Australia,2008,133902788
Germany,1998,26967047
USA,1997,1443089633
France,2012,688535100
Brazil,1998,252033844
Germany,2023,37086576
USA,2000,835735660
USA,2018,508747969
India,2009,266031206
Australia,2008,1126528151
France,2006,44475671
Australia,1993,1201058677
Brazil,2011,1246926685
USA,1991,183567053
China,2001,1471197409
China,2016,572986262
Canada,1996,1088170315
France,2007,764424228
Germany,1996,304623927
Brazil,1993,732774077
India,1995,299666363
Brazil,1992,1479104200
Japan,1994,323148130
Japan,2019,783025299
Brazil,1999,1094377826
UK,2016,418771323
USA,2022,109784336
USA,2013,1389968203
Australia,2006,1402779131
France,2017,784357820
India,2003,688284581
Canada,1990,447494216
Canada,2009,715601601
USA,2010,1429750765
Canada,2017,975691723
Australia,2011,1197028768
USA,2007,665446957
India,2024,648069431
Australia,2022,1025994770
Canada,2010,617111884
Australia,1995,1123182440
Australia,2006,1353394655
USA,1999,968111167
France,2020,918450420
Australia,2012,668611177
Canada,1996,281256326
USA,2013,196161386
Canada,2011,800341087
Japan,2014,404901355
China,2018,1178121921
China,2013,138138236
Brazil,2018,559078518
China,2007,1257407719
Japan,2020,504702945
France,2013,10236097
Germany,2009,550424843
Canada,2021,1075879956
Germany,2020,865399609
India,2007,690569662
UK,2007,358148912
Australia,2013,401281275
China,2004,1377296766
Canada,2009,641270490
Australia,2003,321600684
India,2005,442788001
India,2015,691330511
Australia,1991,1238709011
Japan,2004,977226035
USA,2011,453774688
Japan,2021,459646494
UK,2015,611296913
India,1993,511662234
Brazil,1997,1509598879
France,2006,48264042
India,2012,319409652
China,1991,392058532
Australia,2000,356255060
France,2009,343968927
UK,2005,1381872780
France,2021,294505702
USA,2024,853146003
China,2012,857416719
Japan,2024,732513802
UK,1990,587990209
Japan,1998,142601316
Australia,2006,501806253
Japan,1992,182722672
Australia,1994,938375080
Japan,1990,1226664714
Germany,2009,1369888259
Japan,1999,713661529
Brazil,1991,212318247
UK,1994,1233957461
Brazil,2014,616458301
UK,2008,723037463
Germany,2021,362351986
USA,1996,405581746
Canada,2021,696569471
Canada,1995,501489893
UK,2001,1480663252
India,2015,1258422846
Germany,2014,194436766
India,2006,240559401
Brazil,1999,662688061
Brazil,2016,192878678
Germany,1992,646259255
UK,2023,778156999
Canada,1991,136397774
France,2014,1479710629
France,2002,987191848
Brazil,2006,1502586444
Australia,2019,1519721469
Canada,2003,1188940777
China,2021,179347379
India,2014,65967819
UK,2006,133743253
France,2019,472574872
Canada,2003,1271913803
Brazil,2001,1229409600
China,2011,1256579088
India,2023,914658108
Brazil,2012,583408676
Canada,1993,1012898093
Brazil,1994,937750881
USA,2014,441221052
Japan,2002,1030278788
Canada,1998,59018492
China,2009,304849015
Australia,1992,1060337074
Germany,2011,408361796
Australia,2008,713103068
Brazil,1995,718707017
Japan,1998,1384389227
Germany,2016,1140758579
UK,1990,43916972
USA,2004,1196011255
France,1999,1031366189
Canada,2011,1044654673
USA,1990,736479903
Japan,1992,1476782809
Australia,2014,635585431
Canada,2023,1087724633
France,2018,893191678
Japan,1999,728670039
Japan,1993,467199311
India,2005,716570201
India,2008,1244163584
Japan,1999,1328194631
Germany,2002,254260560
UK,2022,481498408
Japan,2002,248914939
China,1996,1025100735
Japan,2003,176693324
Brazil,2016,977930197
India,2012,386363066
Brazil,1990,36556170
Japan,2015,810039346
UK,1995,795846931
India,2008,1414514812
Brazil,2012,351938216
India,2009,72766843
UK,2010,1501308622
USA,1999,601791537
Brazil,2003,576337517
China,1999,908491875
Australia,1991,1022320193
Brazil,2001,808870871
UK,2009,743519181
Australia,2011,1037466167
USA,2023,766015125
UK,2002,715654172
Japan,1997,784678791
India,2015,1069107247
UK,1995,314660221
Japan,2000,504171435
Canada,1992,840917364
Japan,1994,436514532
India,2012,703268830
Australia,2023,733727009
China,2010,464638442
USA,2003,709792206
Germany,1996,212646899
UK,2011,1112363282
India,1996,293285788
China,1999,485529440
Japan,1995,1147511079
Japan,2024,730263654
India,1997,1159924571
USA,2018,1377495496
Canada,1992,1376974841
China,2015,1295122195
Japan,1999,29826493
Australia,2000,566870804
France,2010,282412227
Australia,2004,215000023
France,1999,1037370323
Brazil,2000,971880073
Brazil,2008,384284429
China,2003,738891926
India,2001,1128430322
Germany,1995,191537070
UK,1993,89032713
Germany,2006,117728125
Canada,2010,475262991
Canada,1991,120924555
Australia,2013,150675858
France,2009,1156350149
India,2005,1085271210
Australia,2006,95308073
India,1999,851979414
China,1993,633835305
Canada,2015,1067757729
Japan,2007,263288750
France,2005,835625695
China,2021,509159931
USA,1991,1249163646
Germany,1995,1321237082
India,1996,353465204
UK,2016,487837627
France,2015,1210093724
Canada,2022,1385883230
China,2024,779059716
France,1998,801518864
Canada,2022,812435949
China,1998,474119240
Canada,2020,800760293
China,2024,387254548
USA,2015,221811792
Australia,1991,120634101
India,1997,16324665
Japan,2018,1390499958
Japan,1994,406388477
France,1993,930252928
Canada,2013,760513453
USA,1998,1503120349
USA,1995,1169220640
Brazil,2011,1022582167
Germany,2019,1303632206
USA,2008,1424058086
Germany,2002,753643911
India,2009,423904167
China,2000,653203246
Brazil,1996,375517600
Brazil,2023,1035102619
UK,2005,946572913
Japan,1992,764434819
USA,2011,614277201
Canada,2021,901131929
Brazil,2009,1001480878
Brazil,2013,579883836
China,1992,632033920
USA,2006,599208506
China,2014,764925126
China,2019,957409041
UK,2008,75114066
France,2015,569107540
India,2003,456830269
USA,1996,350628130
UK,2008,1167882238
China,2015,378795500
UK,2009,415278342
Germany,2021,1400391143
Japan,2017,1486799218
France,2010,305506463
Brazil,2007,1419906192
Australia,1997,1285693683
Brazil,2005,614059648
France,1995,410096611
Australia,2000,146440247
France,2002,1431806414
China,2005,236633671
Japan,2005,703256881
France,2022,1003456206
Canada,2011,1426752214
UK,1990,270804954
UK,1998,769591158
Japan,2007,1097362134
India,1992,159892240
France,1998,1415233091
France,2004,1500855064
China,2004,1285407672
Canada,2012,1007506692
Germany,1994,653553973
Canada,2022,1051402628
India,1996,176569758
Germany,2008,749878193
USA,2016,535947521
India,1999,1266621934
Brazil,1999,561462466
India,1997,35102276
Canada,1992,894811974
India,2013,511383176
Japan,2015,1139222130
India,1994,382892312
Canada,2007,1044272574
India,2015,1347527969
Canada,1991,1215833120
Australia,1991,447946502
Japan,2015,718508842
China,2016,335008804
China,2004,909592824
Australia,2022,510640028
Japan,1997,557438732
USA,2022,148078148
UK,2003,1313203681
Canada,2002,917460119
Australia,1994,353568448
USA,2019,103012142
Canada,2014,841419553
China,2007,323694821
France,2011,1408123127
USA,1997,1388844966
Canada,2006,611441640
Brazil,2002,1168821430
Japan,2007,1382615555
India,2023,1395916447
China,2006,524123490
France,2023,117048198
UK,1994,1032433473
UK,1998,222315032
France,2024,532999227
USA,2012,1381150175
Canada,1993,1191022266
China,2021,603754087
Canada,2001,82165554
Canada,1996,653094048
Germany,1992,271871671
Germany,2017,835653820
Australia,2022,257202753
India,2014,1088576001
Japan,2023,844266130
Brazil,1999,1028994920
UK,2003,323857892
Japan,2010,1308361657
Japan,2003,782092859
Canada,2017,276553613
China,1991,594280168
Canada,2015,1352552482
Brazil,2022,955485244
Germany,1994,545845593
France,2015,1510279845
Germany,1994,578678401
USA,1995,665273608
USA,2018,115293516
Germany,2000,1407635831
Japan,1992,1194824329
Japan,1994,1079773050
Canada,2019,89319870
China,2021,365127712
Brazil,2002,592449155
Canada,2020,515160531
China,2003,58391898
Australia,2010,576603397
Germany,1994,1290451433
China,2015,189897947
Germany,2016,476615382
Canada,1995,637622654
China,1997,1484953324
Australia,2015,652127258
India,2016,665421831
China,2018,1071213129
Australia,1999,1346130409
UK,1995,1263858469
Canada,1995,593128413
USA,1999,1257466677
Canada,1995,831207998
China,2006,333270170
France,1996,1509008680
UK,1998,1120343470
USA,2002,1423137619
Japan,1996,693179938
Japan,2003,591446346
Canada,2010,293605713
Germany,1990,646219160
Australia,2004,57937207
USA,1998,208678269
India,2001,376506506
Australia,2008,683155803
China,2019,309245844
France,2009,162234445
Brazil,1999,1030732547
Germany,2005,1316538717
USA,2023,1217433363
France,2019,1220921954
Canada,2006,757675944
Canada,1994,221678736
India,2023,1132201849
USA,1992,94322153
Canada,2009,69905092
Australia,2015,1301059510
France,2014,998316118
France,2006,722481614
France,2007,526464679
Japan,2001,1148358455
India,1999,640754735
France,2005,189962788
UK,1997,1419389509
Australia,2016,1273991485
China,2011,501399374
China,1998,368628149
Canada,1990,96315193
Canada,2000,674542028
China,2016,193523952
UK,1997,427755131
Canada,2023,221811094
Japan,2001,488379786
Japan,1999,1180485074
USA,1995,535821491
France,1991,60553803
USA,2011,1253745777
USA,1991,1399581131
China,2002,1493771386
Germany,2019,194067168
China,1993,1099123077
UK,2009,1503243438
Australia,2017,258639990
France,2003,670408596
USA,2002,1395927841
UK,2002,1193712560
USA,2014,194070403
Germany,1999,466397775
Australia,2024,969405653
Japan,2012,930816557
Brazil,2017,667558004
India,1997,1011443544
France,2022,1129060643
Australia,2021,41500533
India,1999,465764962
Brazil,1996,811154844
India,2023,341653350
India,2018,1134790592
Canada,1992,701726025
Germany,2007,46091919
USA,2024,1063026140
USA,1990,1191349531
Germany,2016,1314886964
USA,2022,1356787387
Germany,2000,1028774722
Canada,1996,497591202
UK,2010,1238009540
Canada,2022,107697973
Japan,2021,1152517498
France,2005,1462284072
India,1992,892124418
India,2011,1121271550
UK,1992,1437696914
UK,2022,1477029454
France,1999,14217729
China,2020,632470236
Australia,1995,950775706
Japan,2004,709847696
UK,2016,842752039
USA,2008,131780420
Germany,1996,800821191
France,2011,406855756
China,1992,49180762
Germany,1993,281889747
Canada,2002,985378210
France,2003,263438639
China,2008,773585679
USA,1994,444063997
China,2020,1405117756
China,2003,587133025
France,1991,261043832
India,1990,1083946893
India,2012,895541979
Japan,2018,1416407878
USA,1995,635045283
Japan,1994,1023971025
Brazil,2003,387408454
France,2018,277428027
UK,2015,1038183608
China,1996,1035925647
USA,2007,615423406
Germany,2019,604989931
China,1996,1228329037
Germany,2014,808622063
UK,2001,1493565617
Germany,2024,1049068627
UK,2008,381247473
Canada,1997,287821338
Australia,2020,1436830186
Canada,2023,857261977
France,2012,1448869561
Germany,2003,863146320
USA,2014,1315455530
France,1998,246194256
USA,2018,997946547
France,2003,1486073823
Australia,2000,1314508374
Japan,2015,885697508
UK,2021,348369200
India,2008,1231685484
USA,2006,1136539810
Japan,1999,986338715
China,2014,589832119
Canada,2021,685149474
Japan,2004,62110792
India,2019,247993724
Australia,2002,160929481
UK,1999,1066857728
France,1993,1238176897
China,2015,1178702293
Australia,2005,1517164064
China,2014,284675475
France,2012,148153472
UK,1999,532735572
Brazil,1992,605368137
Japan,2008,1367484097
Germany,1992,1487034459
USA,2024,1012653192
Japan,2022,716925414
India,2022,561587250
France,2008,234749445
Australia,2007,1241222125
Australia,2011,1006112235
Canada,2013,1102138184
France,2006,970018462
India,1995,286599606
USA,2024,1369286254
Australia,2004,484639551
USA,2016,786745115
Germany,1998,666906870
France,2017,1075912854
Canada,2019,804105025
UK,1998,108544889
Australia,2016,1005675712
UK,2018,973237083
Brazil,2004,1280877260
India,1995,194782219
Japan,2018,984428697
Brazil,2018,713868982
India,1993,727225378
China,2010,726488469
UK,1997,666475908
USA,2000,1243654721
China,1998,58374305
Germany,2004,233116296
China,1996,872974599
UK,1993,720810483
UK,2003,1137526616
UK,1998,87442393
Germany,1996,560999194
Germany,2000,716506935
UK,2009,1059340727
France,2007,271227033
Brazil,1998,1187738660
Canada,2000,228840116
Brazil,1994,1520074934
USA,2004,172186781
Brazil,2020,1278941908
France,1992,683838392
Australia,2022,414723978
Australia,2024,843572489
France,2014,104543712
France,2019,1288434083
China,2004,1210649631
Brazil,2003,1304707693
India,1999,868639972
Germany,2015,148445079
India,2014,856801624
China,2002,720029631
France,2019,1190419246
China,2000,35130014
China,2023,865089470
Brazil,2012,1020399723
Australia,2000,659946060
Japan,2003,1306260442
Brazil,2009,372298861
China,2013,521576711
Canada,2007,27439176
India,1993,539723694
Australia,1991,585112530
Germany,1992,673218750
China,2021,60182483
Australia,2004,409051905
Australia,1995,968822970
China,2001,899700572
Canada,2013,1028186993
India,2002,1487035024
Brazil,1990,1412128605
Brazil,2017,489509762
Brazil,1995,1395130232
Brazil,2002,1408695166
Australia,2005,1359718680
Germany,2023,1408021467
Germany,2022,1460624527
UK,2006,1073918542
UK,2003,1395914840
Japan,1994,945547328
Germany,1996,630880736
China,2004,1042669967
France,2002,1089324511
USA,2004,531248423
USA,1996,1051807560
Australia,2013,1524542682
Australia,2019,576048032
Australia,2002,1050368685
USA,2021,1404950006
Brazil,2015,21240139
France,2002,753603761
Canada,2020,671319530
India,2020,1442277220
China,1997,341328631
India,1999,859553073
Japan,1993,932752834
USA,2004,911634005
Germany,2021,1137693075
Brazil,1993,676330961
UK,2004,1025449915
Brazil,2009,1234373396
Canada,2008,1140924834
France,2006,730912388
India,2009,727131922
UK,2019,1002860948
Brazil,2012,204357433
India,2003,1296339385
India,2001,81625071
UK,2006,1026152030
USA,2016,1201830984
Germany,2019,898529398
USA,2019,1433656293
India,2013,1345559994
Canada,2015,536203048
Canada,1996,1333774615
Brazil,2006,145525134
India,2023,487912444
Japan,1991,527521388
UK,2011,419835889
Japan,2000,201168985
Australia,2011,1226543923
Germany,2022,424437111
India,2016,979123446
UK,1999,1064149912
Brazil,1995,289352237
